ID,Candidate (Candidate Tiers),Rank (Candidate Tiers)
cu59ogo1om,j1on6ii4sf,1
,ektnjkve9a,2
,iorvjnj816,3
,9idpm7tvaq,4
,m3oicha16v,5
64aj2m6fgk,iorvjnj816,1
,03jvle8gs1,2
,2qla7p0srb,3
,f3m1k5kdvq,4
,40ulihclif,5
0k8pibj7db,ektnjkve9a,1
,iorvjnj816,2
,jam4hd18v7,3
,03jvle8gs1,4
,38sjg08ntp,5
754f8dqhrb,u17od770nd,1
,j1on6ii4sf,2
,03jvle8gs1,3
,38sjg08ntp,4
,iorvjnj816,5
a2ckhh1bep,iorvjnj816,1
,ektnjkve9a,2
,03jvle8gs1,3
,40ulihclif,4
,jam4hd18v7,5
2a7mmb9s0n,u17od770nd,1
,m3oicha16v,2
,ektnjkve9a,3
,9idpm7tvaq,4
,2qla7p0srb,5
f0m1mmemq1,u17od770nd,1
,j1on6ii4sf,2
,03jvle8gs1,3
,iorvjnj816,4
,38sjg08ntp,5
dubqlv8vdk,iorvjnj816,1
,ektnjkve9a,2
,92vlf9qc8c,3
,9idpm7tvaq,4
,jam4hd18v7,5
2r88iur9qh,iorvjnj816,1
,9idpm7tvaq,2
,jam4hd18v7,3
,40ulihclif,4
,38sjg08ntp,5
8l2m1lb03t,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
40oviqa9v2,9idpm7tvaq,1
,ektnjkve9a,2
,iorvjnj816,3
,aed6qu7jhp,4
,jam4hd18v7,5
fmpmjbc4ar,9idpm7tvaq,1
,j1on6ii4sf,2
,iorvjnj816,3
,38sjg08ntp,4
,m3oicha16v,5
6hj9sfuqhl,03jvle8gs1,1
,jam4hd18v7,2
,9idpm7tvaq,3
,38sjg08ntp,4
,iorvjnj816,5
5gguekhuvm,9idpm7tvaq,1
,m3oicha16v,2
,f3m1k5kdvq,3
,ektnjkve9a,4
,38sjg08ntp,5
9dqu3i97sc,jam4hd18v7,1
,40ulihclif,2
,38sjg08ntp,3
,ektnjkve9a,4
,9idpm7tvaq,5
68uiha1vvr,9idpm7tvaq,1
,j1on6ii4sf,2
,ektnjkve9a,3
,2qla7p0srb,4
,u17od770nd,5
